"region","år","arbetsställets sektortillhörighet","ålder",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0126 Huddinge","2013","kommunalt ägda företag och organisationer","65+ år",17
"0126 Huddinge","2014","primärkommunal förvaltning","55-59 år",787
"0126 Huddinge","2014","primärkommunal förvaltning","60-64 år",573
"0126 Huddinge","2014","primärkommunal förvaltning","65+ år",231
"0126 Huddinge","2014","kommunalt ägda företag och organisationer","55-59 år",117
"0126 Huddinge","2014","kommunalt ägda företag och organisationer","60-64 år",90
"0126 Huddinge","2014","kommunalt ägda företag och organisationer","65+ år",23
"0126 Huddinge","2015","primärkommunal förvaltning","55-59 år",795
"0126 Huddinge","2015","primärkommunal förvaltning","60-64 år",570
"0126 Huddinge","2015","primärkommunal förvaltning","65+ år",234
"0126 Huddinge","2015","kommunalt ägda företag och organisationer","55-59 år",130
"0126 Huddinge","2015","kommunalt ägda företag och organisationer","60-64 år",93
"0126 Huddinge","2015","kommunalt ägda företag och organisationer","65+ år",23
"0126 Huddinge","2016","primärkommunal förvaltning","55-59 år",809
"0126 Huddinge","2016","primärkommunal förvaltning","60-64 år",592
"0126 Huddinge","2016","primärkommunal förvaltning","65+ år",219
"0126 Huddinge","2016","kommunalt ägda företag och organisationer","55-59 år",128
"0126 Huddinge","2016","kommunalt ägda företag och organisationer","60-64 år",93
"0126 Huddinge","2016","kommunalt ägda företag och organisationer","65+ år",25
"0126 Huddinge","2017","primärkommunal förvaltning","55-59 år",782
"0126 Huddinge","2017","primärkommunal förvaltning","60-64 år",613
"0126 Huddinge","2017","primärkommunal förvaltning","65+ år",242
"0126 Huddinge","2017","kommunalt ägda företag och organisationer","55-59 år",132
"0126 Huddinge","2017","kommunalt ägda företag och organisationer","60-64 år",108
"0126 Huddinge","2017","kommunalt ägda företag och organisationer","65+ år",27
"0127 Botkyrka","2008","primärkommunal förvaltning","55-59 år",646
"0127 Botkyrka","2008","primärkommunal förvaltning","60-64 år",603
"0127 Botkyrka","2008","primärkommunal förvaltning","65+ år",149
"0127 Botkyrka","2008","kommunalt ägda företag och organisationer","55-59 år",72
"0127 Botkyrka","2008","kommunalt ägda företag och organisationer","60-64 år",71
"0127 Botkyrka","2008","kommunalt ägda företag och organisationer","65+ år",10
"0127 Botkyrka","2009","primärkommunal förvaltning","55-59 år",619
"0127 Botkyrka","2009","primärkommunal förvaltning","60-64 år",573
"0127 Botkyrka","2009","primärkommunal förvaltning","65+ år",162
"0127 Botkyrka","2009","kommunalt ägda företag och organisationer","55-59 år",75
"0127 Botkyrka","2009","kommunalt ägda företag och organisationer","60-64 år",68
"0127 Botkyrka","2009","kommunalt ägda företag och organisationer","65+ år",13
"0127 Botkyrka","2010","primärkommunal förvaltning","55-59 år",651
"0127 Botkyrka","2010","primärkommunal förvaltning","60-64 år",546
"0127 Botkyrka","2010","primärkommunal förvaltning","65+ år",186
"0127 Botkyrka","2010","kommunalt ägda företag och organisationer","55-59 år",77
"0127 Botkyrka","2010","kommunalt ägda företag och organisationer","60-64 år",68
"0127 Botkyrka","2010","kommunalt ägda företag och organisationer","65+ år",15
"0127 Botkyrka","2011","primärkommunal förvaltning","55-59 år",649
"0127 Botkyrka","2011","primärkommunal förvaltning","60-64 år",553
"0127 Botkyrka","2011","primärkommunal förvaltning","65+ år",148
"0127 Botkyrka","2011","kommunalt ägda företag och organisationer","55-59 år",78
"0127 Botkyrka","2011","kommunalt ägda företag och organisationer","60-64 år",72
"0127 Botkyrka","2011","kommunalt ägda företag och organisationer","65+ år",12
"0127 Botkyrka","2012","primärkommunal förvaltning","55-59 år",660
"0127 Botkyrka","2012","primärkommunal förvaltning","60-64 år",524
"0127 Botkyrka","2012","primärkommunal förvaltning","65+ år",176
"0127 Botkyrka","2012","kommunalt ägda företag och organisationer","55-59 år",86
"0127 Botkyrka","2012","kommunalt ägda företag och organisationer","60-64 år",72
"0127 Botkyrka","2012","kommunalt ägda företag och organisationer","65+ år",13
"0127 Botkyrka","2013","primärkommunal förvaltning","55-59 år",667
"0127 Botkyrka","2013","primärkommunal förvaltning","60-64 år",502
"0127 Botkyrka","2013","primärkommunal förvaltning","65+ år",196
"0127 Botkyrka","2013","kommunalt ägda företag och organisationer","55-59 år",85
"0127 Botkyrka","2013","kommunalt ägda företag och organisationer","60-64 år",71
"0127 Botkyrka","2013","kommunalt ägda företag och organisationer","65+ år",21
"0127 Botkyrka","2014","primärkommunal förvaltning","55-59 år",666
"0127 Botkyrka","2014","primärkommunal förvaltning","60-64 år",504
"0127 Botkyrka","2014","primärkommunal förvaltning","65+ år",178
"0127 Botkyrka","2014","kommunalt ägda företag och organisationer","55-59 år",95
"0127 Botkyrka","2014","kommunalt ägda företag och organisationer","60-64 år",67
"0127 Botkyrka","2014","kommunalt ägda företag och organisationer","65+ år",24
"0127 Botkyrka","2015","primärkommunal förvaltning","55-59 år",684
"0127 Botkyrka","2015","primärkommunal förvaltning","60-64 år",535
"0127 Botkyrka","2015","primärkommunal förvaltning","65+ år",166
"0127 Botkyrka","2015","kommunalt ägda företag och organisationer","55-59 år",90
"0127 Botkyrka","2015","kommunalt ägda företag och organisationer","60-64 år",66
"0127 Botkyrka","2015","kommunalt ägda företag och organisationer","65+ år",20
"0127 Botkyrka","2016","primärkommunal förvaltning","55-59 år",699
"0127 Botkyrka","2016","primärkommunal förvaltning","60-64 år",538
"0127 Botkyrka","2016","primärkommunal förvaltning","65+ år",198
"0127 Botkyrka","2016","kommunalt ägda företag och organisationer","55-59 år",96
"0127 Botkyrka","2016","kommunalt ägda företag och organisationer","60-64 år",64
"0127 Botkyrka","2016","kommunalt ägda företag och organisationer","65+ år",26
"0127 Botkyrka","2017","primärkommunal förvaltning","55-59 år",707
"0127 Botkyrka","2017","primärkommunal förvaltning","60-64 år",536
"0127 Botkyrka","2017","primärkommunal förvaltning","65+ år",207
"0127 Botkyrka","2017","kommunalt ägda företag och organisationer","55-59 år",102
"0127 Botkyrka","2017","kommunalt ägda företag och organisationer","60-64 år",69
"0127 Botkyrka","2017","kommunalt ägda företag och organisationer","65+ år",26
"0128 Salem","2008","primärkommunal förvaltning","55-59 år",166
"0128 Salem","2008","primärkommunal förvaltning","60-64 år",163
"0128 Salem","2008","primärkommunal förvaltning","65+ år",48
"0128 Salem","2008","kommunalt ägda företag och organisationer","55-59 år",13
"0128 Salem","2008","kommunalt ägda företag och organisationer","60-64 år",16
"0128 Salem","2008","kommunalt ägda företag och organisationer","65+ år",8
"0128 Salem","2009","primärkommunal förvaltning","55-59 år",151
"0128 Salem","2009","primärkommunal förvaltning","60-64 år",159
"0128 Salem","2009","primärkommunal förvaltning","65+ år",50
"0128 Salem","2009","kommunalt ägda företag och organisationer","55-59 år",13
"0128 Salem","2009","kommunalt ägda företag och organisationer","60-64 år",18
"0128 Salem","2009","kommunalt ägda företag och organisationer","65+ år",7
"0128 Salem","2010","primärkommunal förvaltning","55-59 år",152
"0128 Salem","2010","primärkommunal förvaltning","60-64 år",166
"0128 Salem","2010","primärkommunal förvaltning","65+ år",39
"0128 Salem","2010","kommunalt ägda företag och organisationer","55-59 år",13
"0128 Salem","2010","kommunalt ägda företag och organisationer","60-64 år",24
"0128 Salem","2010","kommunalt ägda företag och organisationer","65+ år",7
"0128 Salem","2011","primärkommunal förvaltning","55-59 år",139
"0128 Salem","2011","primärkommunal förvaltning","60-64 år",161
"0128 Salem","2011","primärkommunal förvaltning","65+ år",38
"0128 Salem","2011","kommunalt ägda företag och organisationer","55-59 år",13
"0128 Salem","2011","kommunalt ägda företag och organisationer","60-64 år",23
"0128 Salem","2011","kommunalt ägda företag och organisationer","65+ år",9
"0128 Salem","2012","primärkommunal förvaltning","55-59 år",138
"0128 Salem","2012","primärkommunal förvaltning","60-64 år",159
"0128 Salem","2012","primärkommunal förvaltning","65+ år",43
"0128 Salem","2012","kommunalt ägda företag och organisationer","55-59 år",17
"0128 Salem","2012","kommunalt ägda företag och organisationer","60-64 år",19
"0128 Salem","2012","kommunalt ägda företag och organisationer","65+ år",10
"0128 Salem","2013","primärkommunal förvaltning","55-59 år",128
"0128 Salem","2013","primärkommunal förvaltning","60-64 år",145
"0128 Salem","2013","primärkommunal förvaltning","65+ år",58
"0128 Salem","2013","kommunalt ägda företag och organisationer","55-59 år",22
"0128 Salem","2013","kommunalt ägda företag och organisationer","60-64 år",20
"0128 Salem","2013","kommunalt ägda företag och organisationer","65+ år",11
"0128 Salem","2014","primärkommunal förvaltning","55-59 år",141
"0128 Salem","2014","primärkommunal förvaltning","60-64 år",137
"0128 Salem","2014","primärkommunal förvaltning","65+ år",60
"0128 Salem","2014","kommunalt ägda företag och organisationer","55-59 år",19
"0128 Salem","2014","kommunalt ägda företag och organisationer","60-64 år",17
"0128 Salem","2014","kommunalt ägda företag och organisationer","65+ år",12
"0128 Salem","2015","primärkommunal förvaltning","55-59 år",133
"0128 Salem","2015","primärkommunal förvaltning","60-64 år",134
"0128 Salem","2015","primärkommunal förvaltning","65+ år",78
"0128 Salem","2015","kommunalt ägda företag och organisationer","55-59 år",21
"0128 Salem","2015","kommunalt ägda företag och organisationer","60-64 år",8
"0128 Salem","2015","kommunalt ägda företag och organisationer","65+ år",12
"0128 Salem","2016","primärkommunal förvaltning","55-59 år",133
"0128 Salem","2016","primärkommunal förvaltning","60-64 år",121
"0128 Salem","2016","primärkommunal förvaltning","65+ år",68
"0128 Salem","2016","kommunalt ägda företag och organisationer","55-59 år",15
"0128 Salem","2016","kommunalt ägda företag och organisationer","60-64 år",11
"0128 Salem","2016","kommunalt ägda företag och organisationer","65+ år",9
"0128 Salem","2017","primärkommunal förvaltning","55-59 år",131
"0128 Salem","2017","primärkommunal förvaltning","60-64 år",119
"0128 Salem","2017","primärkommunal förvaltning","65+ år",63
"0128 Salem","2017","kommunalt ägda företag och organisationer","55-59 år",20
"0128 Salem","2017","kommunalt ägda företag och organisationer","60-64 år",16
"0128 Salem","2017","kommunalt ägda företag och organisationer","65+ år",6
"0136 Haninge","2008","primärkommunal förvaltning","55-59 år",690
"0136 Haninge","2008","primärkommunal förvaltning","60-64 år",616
"0136 Haninge","2008","primärkommunal förvaltning","65+ år",152
"0136 Haninge","2008","kommunalt ägda företag och organisationer","55-59 år",107
"0136 Haninge","2008","kommunalt ägda företag och organisationer","60-64 år",117
"0136 Haninge","2008","kommunalt ägda företag och organisationer","65+ år",16
"0136 Haninge","2009","primärkommunal förvaltning","55-59 år",618
"0136 Haninge","2009","primärkommunal förvaltning","60-64 år",621
"0136 Haninge","2009","primärkommunal förvaltning","65+ år",176
"0136 Haninge","2009","kommunalt ägda företag och organisationer","55-59 år",97
"0136 Haninge","2009","kommunalt ägda företag och organisationer","60-64 år",114
"0136 Haninge","2009","kommunalt ägda företag och organisationer","65+ år",19
"0136 Haninge","2010","primärkommunal förvaltning","55-59 år",586
"0136 Haninge","2010","primärkommunal förvaltning","60-64 år",590
"0136 Haninge","2010","primärkommunal förvaltning","65+ år",178
"0136 Haninge","2010","kommunalt ägda företag och organisationer","55-59 år",100
"0136 Haninge","2010","kommunalt ägda företag och organisationer","60-64 år",100
"0136 Haninge","2010","kommunalt ägda företag och organisationer","65+ år",26
"0136 Haninge","2011","primärkommunal förvaltning","55-59 år",566
"0136 Haninge","2011","primärkommunal förvaltning","60-64 år",585
"0136 Haninge","2011","primärkommunal förvaltning","65+ år",151
"0136 Haninge","2011","kommunalt ägda företag och organisationer","55-59 år",110
"0136 Haninge","2011","kommunalt ägda företag och organisationer","60-64 år",90
"0136 Haninge","2011","kommunalt ägda företag och organisationer","65+ år",20
"0136 Haninge","2012","primärkommunal förvaltning","55-59 år",589
"0136 Haninge","2012","primärkommunal förvaltning","60-64 år",546
"0136 Haninge","2012","primärkommunal förvaltning","65+ år",189
"0136 Haninge","2012","kommunalt ägda företag och organisationer","55-59 år",108
"0136 Haninge","2012","kommunalt ägda företag och organisationer","60-64 år",91
"0136 Haninge","2012","kommunalt ägda företag och organisationer","65+ år",17
"0136 Haninge","2013","primärkommunal förvaltning","55-59 år",571
"0136 Haninge","2013","primärkommunal förvaltning","60-64 år",540
"0136 Haninge","2013","primärkommunal förvaltning","65+ år",208
"0136 Haninge","2013","kommunalt ägda företag och organisationer","55-59 år",94
"0136 Haninge","2013","kommunalt ägda företag och organisationer","60-64 år",91
